DB/Table|Source Column|Ref Table Column|Typelist (per Dictionary)|Final Harmonized Column Names (3)|Attributes from Lookup Table
policycenter.dbo.pcx_bp7linecov|ChangeType|ID|policycenter.dbo.pctl_EffDatedChangeType|pctl_EffDatedChangeType_TypeCode / pctl_EffDatedChangeType_Name / pctl_EffDatedChangeType_Description|TypeCode / Name / Description
policycenter.dbo.pcx_bp7linecov|Currency|ID|policycenter.dbo.pctl_Currency|pctl_Currency_TypeCode / pctl_Currency_Name / pctl_Currency_Description|TypeCode / Name / Description
policycenter.dbo.pcx_bp7linecov|ServiceTypeExt|ID|policycenter.dbo.pctl_BP7ServiceType_Ext|pctl_BP7ServiceType_Ext_TypeCode / pctl_BP7ServiceType_Ext_Name / pctl_BP7ServiceType_Ext_Description|TypeCode / Name / Description
policycenter.dbo.pcx_bp7linecov|Subtype|ID|policycenter.dbo.pctl_BP7LineCov|pctl_BP7LineCov_TypeCode / pctl_BP7LineCov_Name / pctl_BP7LineCov_Description|TypeCode / Name / Description
policycenter.dbo.pcx_bp7lineexcl|ChangeType|ID|policycenter.dbo.pctl_EffDatedChangeType|pctl_EffDatedChangeType_TypeCode / pctl_EffDatedChangeType_Name / pctl_EffDatedChangeType_Description|TypeCode / Name / Description
policycenter.dbo.pcx_bp7lineexcl|Currency|ID|policycenter.dbo.pctl_Currency|pctl_Currency_TypeCode / pctl_Currency_Name / pctl_Currency_Description|TypeCode / Name / Description
policycenter.dbo.pcx_bp7lineexcl|Subtype|ID|policycenter.dbo.pctl_BP7LineExcl|pctl_BP7LineExcl_TypeCode / pctl_BP7LineExcl_Name / pctl_BP7LineExcl_Description|TypeCode / Name / Description
policycenter.dbo.pcx_bp7linemod|ChangeType|ID|policycenter.dbo.pctl_EffDatedChangeType|pctl_EffDatedChangeType_TypeCode / pctl_EffDatedChangeType_Name / pctl_EffDatedChangeType_Description|TypeCode / Name / Description
policycenter.dbo.pcx_bp7linemod|State|ID|policycenter.dbo.pctl_Jurisdiction|pctl_Jurisdiction_TypeCode / pctl_Jurisdiction_Name / pctl_Jurisdiction_Description|TypeCode / Name / Description
policycenter.dbo.pcx_bp7linemod|Subtype|ID|policycenter.dbo.pctl_BP7LineMod|pctl_BP7LineMod_TypeCode / pctl_BP7LineMod_Name / pctl_BP7LineMod_Description|TypeCode / Name / Description
policycenter.dbo.pcx_bp7linerf|ChangeType|ID|policycenter.dbo.pctl_EffDatedChangeType|pctl_EffDatedChangeType_TypeCode / pctl_EffDatedChangeType_Name / pctl_EffDatedChangeType_Description|TypeCode / Name / Description
policycenter.dbo.pcx_bp7lineschedconditem|ChangeType|ID|policycenter.dbo.pctl_EffDatedChangeType|pctl_EffDatedChangeType_TypeCode_ChangeType / pctl_EffDatedChangeType_Name_ChangeType / pctl_EffDatedChangeType_Description_ChangeType|TypeCode / Name / Description
policycenter.dbo.pcx_bp7lineschedconditem|PreferredCoverageCurrency|ID|policycenter.dbo.pctl_Currency|pctl_Currency_TypeCode_PreferredCoverageCurrency / pctl_Currency_Name_PreferredCoverageCurrency / pctl_Currency_Description_PreferredCoverageCurrency|TypeCode / Name / Description
policycenter.dbo.pcx_bp7lineschedconditem|Subtype|ID|policycenter.dbo.pctl_BP7LineSchedCondItem|pctl_BP7LineSchedCondItem_TypeCode_Subtype / pctl_BP7LineSchedCondItem_Name_Subtype / pctl_BP7LineSchedCondItem_Description_Subtype|TypeCode / Name / Description
policycenter.dbo.pcx_bp7lineschedcovitem|ChangeType|ID|policycenter.dbo.pctl_EffDatedChangeType|pctl_EffDatedChangeType_TypeCode_ChangeType / pctl_EffDatedChangeType_Name_ChangeType / pctl_EffDatedChangeType_Description_ChangeType|TypeCode / Name / Description
policycenter.dbo.pcx_bp7lineschedcovitem|PreferredCoverageCurrency|ID|policycenter.dbo.pctl_Currency|pctl_Currency_TypeCode_PreferredCoverageCurrency / pctl_Currency_Name_PreferredCoverageCurrency / pctl_Currency_Description_PreferredCoverageCurrency|TypeCode / Name / Description
policycenter.dbo.pcx_bp7lineschedcovitem|Subtype|ID|policycenter.dbo.pctl_BP7LineSchedCovItem|pctl_BP7LineSchedCovItem_TypeCode_Subtype / pctl_BP7LineSchedCovItem_Name_Subtype / pctl_BP7LineSchedCovItem_Description_Subtype|TypeCode / Name / Description
policycenter.dbo.pcx_bp7location|ChangeType|ID|policycenter.dbo.pctl_EffDatedChangeType|pctl_EffDatedChangeType_TypeCode / pctl_EffDatedChangeType_Name / pctl_EffDatedChangeType_Description|TypeCode / Name / Description
policycenter.dbo.pcx_bp7location|BP7EarthquakeZone|ID|policycenter.dbo.pctl_BP7EQZone|pctl_bp7eqzone_typecode / pctl_bp7eqzone_name / pctl_bp7eqzone_description|TypeCode / Name / Description
policycenter.dbo.pcx_bp7location|BP7FeetToHydrant|ID|policycenter.dbo.pctl_BP7FeetToHydrant|pctl_bp7feettohydrant_typecode / pctl_bp7feettohydrant_name / pctl_bp7feettohydrant_description|TypeCode / Name / Description
policycenter.dbo.pcx_bp7location|BP7FireProtectionClass|ID|policycenter.dbo.pctl_BP7FireProtectionClass|pctl_bp7fireprotectionclass_typecode / pctl_bp7fireprotectionclass_name / pctl_bp7fireprotectionclass_description|TypeCode / Name / Description
policycenter.dbo.pcx_bp7location|PreferredCoverageCurrency|ID|policycenter.dbo.pctl_Currency|pctl_Currency_TypeCode / pctl_Currency_Name / pctl_Currency_Description|TypeCode / Name / Description
policycenter.dbo.pcx_bp7locationanswer_ext|ChangeType|ID|policycenter.dbo.pctl_EffDatedChangeType|pctl_EffDatedChangeType_TypeCode / pctl_EffDatedChangeType_Name / pctl_EffDatedChangeType_Description|TypeCode / Name / Description
policycenter.dbo.pcx_bp7locationcond|ChangeType|ID|policycenter.dbo.pctl_EffDatedChangeType|pctl_EffDatedChangeType_TypeCode_ChangeType / pctl_EffDatedChangeType_Name_ChangeType / pctl_EffDatedChangeType_Description_ChangeType|TypeCode / Name / Description
policycenter.dbo.pcx_bp7locationcond|Currency|ID|policycenter.dbo.pctl_Currency|pctl_Currency_TypeCode_Currency / pctl_Currency_Name_Currency / pctl_Currency_Description_Currency|TypeCode / Name / Description
policycenter.dbo.pcx_bp7locationcond|Subtype|ID|policycenter.dbo.pctl_BP7LocationCond|pctl_BP7LocationCond_TypeCode_Subtype / pctl_BP7LocationCond_Name_Subtype / pctl_BP7LocationCond_Description_Subtype|TypeCode / Name / Description
policycenter.dbo.pcx_bp7locationcov|ChangeType|ID|policycenter.dbo.pctl_EffDatedChangeType|pctl_EffDatedChangeType_TypeCode / pctl_EffDatedChangeType_Name / pctl_EffDatedChangeType_Description|TypeCode / Name / Description
policycenter.dbo.pcx_bp7locationcov|Currency|ID|policycenter.dbo.pctl_Currency|pctl_Currency_TypeCode / pctl_Currency_Name / pctl_Currency_Description|TypeCode / Name / Description
policycenter.dbo.pcx_bp7locationcov|Subtype|ID|policycenter.dbo.pctl_BP7LocationCov|pctl_BP7LocationCov_TypeCode / pctl_BP7LocationCov_Name / pctl_BP7LocationCov_Description|TypeCode / Name / Description
policycenter.dbo.pcx_bp7locationexcl|ChangeType|ID|policycenter.dbo.pctl_EffDatedChangeType|pctl_EffDatedChangeType_TypeCode / pctl_EffDatedChangeType_Name / pctl_EffDatedChangeType_Description|TypeCode / Name / Description
policycenter.dbo.pcx_bp7locationexcl|Currency|ID|policycenter.dbo.pctl_Currency|pctl_Currency_TypeCode / pctl_Currency_Name / pctl_Currency_Description|TypeCode / Name / Description
policycenter.dbo.pcx_bp7locationexcl|Subtype|ID|policycenter.dbo.pctl_BP7LocationExcl|pctl_BP7LocationExcl_TypeCode / pctl_BP7LocationExcl_Name / pctl_BP7LocationExcl_Description|TypeCode / Name / Description
policycenter.dbo.pcx_bp7locationschedconditem|ChangeType|ID|policycenter.dbo.pctl_EffDatedChangeType|pctl_EffDatedChangeType_TypeCode_ChangeType / pctl_EffDatedChangeType_Name_ChangeType / pctl_EffDatedChangeType_Description_ChangeType|TypeCode / Name / Description
policycenter.dbo.pcx_bp7locationschedconditem|Subtype|ID|policycenter.dbo.pctl_BP7LocationSchedCondItem|pctl_BP7LocationSchedCondItem_TypeCode_Subtype / pctl_BP7LocationSchedCondItem_Name_Subtype / pctl_BP7LocationSchedCondItem_Description_Subtype|TypeCode / Name / Description
policycenter.dbo.pcx_bp7modeledexpgrade_ext|State|ID|policycenter.dbo.pctl_Jurisdiction|pctl_Jurisdiction_TypeCode / pctl_Jurisdiction_Name / pctl_Jurisdiction_Description|TypeCode / Name / Description
policycenter.dbo.pcx_bp7modexposuregrade_ext|State|ID|policycenter.dbo.pctl_Jurisdiction|pctl_Jurisdiction_TypeCode / pctl_Jurisdiction_Name / pctl_Jurisdiction_Description|TypeCode / Name / Description
policycenter.dbo.pcx_bp7qustnsfredgandslsfunl|UnavailableState|ID|policycenter.dbo.pctl_State|pctl_State_TypeCode_UnavailableState / pctl_State_Name_UnavailableState / pctl_State_Description_UnavailableState|TypeCode / Name / Description
policycenter.dbo.pcx_bp7storedfactors_ext|ChangeType|ID|policycenter.dbo.pctl_EffDatedChangeType|pctl_EffDatedChangeType_TypeCode / pctl_EffDatedChangeType_Name / pctl_EffDatedChangeType_Description|TypeCode / Name / Description
policycenter.dbo.pcx_bp7storedfactors_ext|Subtype|ID|policycenter.dbo.pctl_BP7StoredFactors_Ext|pctl_BP7StoredFactors_Ext_TypeCode / pctl_BP7StoredFactors_Ext_Name / pctl_BP7StoredFactors_Ext_Description|TypeCode / Name / Description
policycenter.dbo.pcx_bp7transaction|Amount_cur|ID|policycenter.dbo.pctl_Currency|pctl_Currency_TypeCode2 / pctl_Currency_Name2 / pctl_Currency_Description2|TypeCode / Name / Description
policycenter.dbo.pcx_bp7transaction|AmountBilling_cur|ID|policycenter.dbo.pctl_Currency|pctl_Currency_TypeCode1 / pctl_Currency_Name1 / pctl_Currency_Description1|TypeCode / Name / Description
policycenter.dbo.pcx_bp7transaction|ChangeType|ID|policycenter.dbo.pctl_EffDatedChangeType|pctl_EffDatedChangeType_TypeCode / pctl_EffDatedChangeType_Name / pctl_EffDatedChangeType_Description|TypeCode / Name / Description
policycenter.dbo.pcx_bp7whpercentsc_e|BuildingValue|ID|policycenter.dbo.pctl_BuildingRangeTX_Ext|pctl_BuildingRangeTX_Ext_TypeCode / pctl_BuildingRangeTX_Ext_Name / pctl_BuildingRangeTX_Ext_Description|TypeCode / Name / Description
policycenter.dbo.pcx_bp7whpercenttx_e|BuildingValue|ID|policycenter.dbo.pctl_BuildingRangeTX_Ext|pctl_BuildingRangeTX_Ext_TypeCode / pctl_BuildingRangeTX_Ext_Name / pctl_BuildingRangeTX_Ext_Description|TypeCode / Name / Description
policycenter.dbo.pcx_Bp7WindHailHabitCountyRef|State|ID|policycenter.dbo.pctl_State|pctl_State_TypeCode / pctl_State_Name / pctl_State_Description|TypeCode / Name / Description
policycenter.dbo.pcx_Bp7WindHailHabitCountyRef|Subtype|ID|policycenter.dbo.pctl_Bp7WindHailHabitCtyRef|pctl_Bp7WindHailHabitCtyRef_TypeCode / pctl_Bp7WindHailHabitCtyRef_Name / pctl_Bp7WindHailHabitCtyRef_Description|TypeCode / Name / Description
policycenter.dbo.pcx_bp7windhailpercent_ext|AirZoneRating|ID|policycenter.dbo.pctl_AirZoneRate_BOP_Ext|pctl_AirZoneRate_BOP_Ext_TypeCode / pctl_AirZoneRate_BOP_Ext_Name / pctl_AirZoneRate_BOP_Ext_Description|TypeCode / Name / Description
policycenter.dbo.pcx_bp7windhailpercent_ext|BuildingValue|ID|policycenter.dbo.pctl_BuildingLimitRange|pctl_BuildingLimitRange_TypeCode / pctl_BuildingLimitRange_Name / pctl_BuildingLimitRange_Description|TypeCode / Name / Description
policycenter.dbo.pcx_BPCBatch_Ext|Source|ID|policycenter.dbo.pctl_BPCSource_Ext|pctl_BPCSource_Ext_TypeCode / pctl_BPCSource_Ext_Name / pctl_BPCSource_Ext_Description|TypeCode / Name / Description
policycenter.dbo.pcx_BPCBatch_Ext|Targets|ID|policycenter.dbo.pctl_BPCTargets_Ext|pctl_BPCTargets_Ext_TypeCode / pctl_BPCTargets_Ext_Name / pctl_BPCTargets_Ext_Description|TypeCode / Name / Description
policycenter.dbo.pcx_BPCBatch_Ext|Type|ID|policycenter.dbo.pctl_BPCType_Ext|pctl_BPCType_Ext_TypeCode / pctl_BPCType_Ext_Name / pctl_BPCType_Ext_Description|TypeCode / Name / Description
policycenter.dbo.pcx_BPCRecord_Ext|Jobtype|ID|policycenter.dbo.pctl_Job|pctl_Job_TypeCode / pctl_Job_Name / pctl_Job_Description|TypeCode / Name / Description
policycenter.dbo.pcx_BPCRecord_Ext|Reason|ID|policycenter.dbo.pctl_BPCReason_Ext|pctl_BPCReason_Ext_TypeCode / pctl_BPCReason_Ext_Name / pctl_BPCReason_Ext_Description|TypeCode / Name / Description
policycenter.dbo.pcx_BPCRecord_Ext|Status|ID|policycenter.dbo.pctl_BPCRecordStatus_Ext|pctl_BPCRecordStatus_Ext_TypeCode / pctl_BPCRecordStatus_Ext_Name / pctl_BPCRecordStatus_Ext_Description|TypeCode / Name / Description
policycenter.dbo.pcx_BPCRecord_Ext|Subtype|ID|policycenter.dbo.pctl_BPCRecord_Ext|pctl_BPCRecord_Ext_TypeCode / pctl_BPCRecord_Ext_Name / pctl_BPCRecord_Ext_Description|TypeCode / Name / Description
policycenter.dbo.pcx_buildersRisk|buildersRiskType|ID|policycenter.dbo.pctl_BuildersRisk|pctl_BuildersRisk_TypeCode_buildersRiskType / pctl_BuildersRisk_Name_buildersRiskType / pctl_BuildersRisk_Description_buildersRiskType|TypeCode / Name / Description
policycenter.dbo.pcx_buildersRisk|ChangeType|ID|policycenter.dbo.pctl_EffDatedChangeType|pctl_EffDatedChangeType_TypeCode_ChangeType / pctl_EffDatedChangeType_Name_ChangeType / pctl_EffDatedChangeType_Description_ChangeType|TypeCode / Name / Description
policycenter.dbo.pc_building|AlarmCertification|ID|policycenter.dbo.pctl_AlarmCertification|pctl_AlarmCertification_TypeCode / pctl_AlarmCertification_Name / pctl_AlarmCertification_Description|TypeCode / Name / Description
policycenter.dbo.pc_building|AlarmClass|ID|policycenter.dbo.pctl_AlarmClass|pctl_AlarmClass_TypeCode / pctl_AlarmClass_Name / pctl_AlarmClass_Description|TypeCode / Name / Description
policycenter.dbo.pc_building|AlarmGrade|ID|policycenter.dbo.pctl_AlarmGrade|pctl_AlarmGrade_TypeCode / pctl_AlarmGrade_Name / pctl_AlarmGrade_Description|TypeCode / Name / Description
policycenter.dbo.pc_building|AreaLeased|ID|policycenter.dbo.pctl_AreaLeased|pctl_AreaLeased_TypeCode / pctl_AreaLeased_Name / pctl_AreaLeased_Description|TypeCode / Name / Description
policycenter.dbo.pc_building|BuildingAlarmType|ID|policycenter.dbo.pctl_BuildingAlarmType|pctl_BuildingAlarmType_TypeCode / pctl_BuildingAlarmType_Name / pctl_BuildingAlarmType_Description|TypeCode / Name / Description
policycenter.dbo.pc_building|BurglarySafeguard|ID|policycenter.dbo.pctl_BurglarySafeguard|pctl_BurglarySafeguard_TypeCode / pctl_BurglarySafeguard_Name / pctl_BurglarySafeguard_Description|TypeCode / Name / Description
policycenter.dbo.pc_building|ChangeType|ID|policycenter.dbo.pctl_EffDatedChangeType|pctl_EffDatedChangeType_TypeCode / pctl_EffDatedChangeType_Name / pctl_EffDatedChangeType_Description|TypeCode / Name / Description
policycenter.dbo.pc_building|ConstructionType|ID|policycenter.dbo.pctl_ConstructionType|pctl_ConstructionType_TypeCode / pctl_ConstructionType_Name / pctl_ConstructionType_Description|TypeCode / Name / Description
policycenter.dbo.pc_building|EffectivenessGrade|ID|policycenter.dbo.pctl_EffectivenessGrade|pctl_EffectivenessGrade_TypeCode /  pctl_EffectivenessGrade_Name /  pctl_EffectivenessGrade_Description|TypeCode / Name / Description
policycenter.dbo.pc_building|InterestType|ID|policycenter.dbo.pctl_InterestType|pctl_InterestType_TypeCode /  pctl_InterestType_Name /  pctl_InterestType_Description|TypeCode / Name / Description
policycenter.dbo.pc_building|PercentOccupied|ID|policycenter.dbo.pctl_PercentOccupied|pctl_PercentOccupied_TypeCode /  pctl_PercentOccupied_Name /  pctl_PercentOccupied_Description|TypeCode / Name / Description
policycenter.dbo.pc_building|PercentVacant|ID|policycenter.dbo.pctl_PercentByTens|pctl_PercentByTens_TypeCode1 /  pctl_PercentByTens_Name1 /  pctl_PercentByTens_Description1|TypeCode / Name / Description
policycenter.dbo.pc_building|RentedOthers|ID|policycenter.dbo.pctl_PercentByTens|pctl_PercentByTens_TypeCode2 /  pctl_PercentByTens_Name2 /  pctl_PercentByTens_Description2|TypeCode / Name / Description
policycenter.dbo.pc_building|RoofType|ID|policycenter.dbo.pctl_RoofType|pctl_RoofType_TypeCode /  pctl_RoofType_Name /  pctl_RoofType_Description|TypeCode / Name / Description
policycenter.dbo.pc_building|SprinklerCoverage|ID|policycenter.dbo.pctl_Sprinklered|pctl_Sprinklered_TypeCode /  pctl_Sprinklered_Name /  pctl_Sprinklered_Description|TypeCode / Name / Description
policycenter.dbo.pc_building|Subtype|ID|policycenter.dbo.pctl_Building|pctl_Building_TypeCode / pctl_Building_Name / pctl_Building_Description|TypeCode / Name / Description
policycenter.dbo.pc_building|WindRating|ID|policycenter.dbo.pctl_WindRating|pctl_WindRating_TypeCode /  pctl_WindRating_Name /  pctl_WindRating_Description|TypeCode / Name / Description
policycenter.dbo.pcx_buildingAddAndAlteration|ChangeType|ID|policycenter.dbo.pctl_EffDatedChangeType|pctl_EffDatedChangeType_TypeCode2 / pctl_EffDatedChangeType_Name2 / pctl_EffDatedChangeType_Description2|TypeCode / Name / Description
policycenter.dbo.pc_buildingimpr|BuildingImprType|ID|policycenter.dbo.pctl_BuildingImprType|pctl_BuildingImprType_TypeCode / pctl_BuildingImprType_Name / pctl_BuildingImprType_Description|TypeCode / Name / Description
policycenter.dbo.pc_buildingimpr|ChangeType|ID|policycenter.dbo.pctl_EffDatedChangeType|pctl_EffDatedChangeType_TypeCode / pctl_EffDatedChangeType_Name / pctl_EffDatedChangeType_Description|TypeCode / Name / Description
policycenter.dbo.pc_buildingside|BuildingSideType|ID|policycenter.dbo.pctl_BuildingSideType|pctl_BuildingSideType_TypeCode / pctl_BuildingSideType_Name / pctl_BuildingSideType_Description|TypeCode / Name / Description
policycenter.dbo.pc_buildingside|ChangeType|ID|policycenter.dbo.pctl_EffDatedChangeType|pctl_EffDatedChangeType_TypeCode / pctl_EffDatedChangeType_Name / pctl_EffDatedChangeType_Description|TypeCode / Name / Description
policycenter.dbo.pc_balinecond|ChangeType|ID|policycenter.dbo.pctl_EffDatedChangeType|pctl_EffDatedChangeType_TypeCode_ChangeType / pctl_EffDatedChangeType_Name_ChangeType / pctl_EffDatedChangeType_Description_ChangeType|TypeCode / Name / Description
policycenter.dbo.pc_balinecond|Currency|ID|policycenter.dbo.pctl_Currency|pctl_Currency_TypeCode_Currency / pctl_Currency_Name_Currency / pctl_Currency_Description_Currency|TypeCode / Name / Description
policycenter.dbo.pc_balinecond|Subtype|ID|policycenter.dbo.pctl_BusinessAutoCond|pctl_BusinessAutoCond_TypeCode_Subtype / pctl_BusinessAutoCond_Name_Subtype / pctl_BusinessAutoCond_Description_Subtype|TypeCode / Name / Description
policycenter.dbo.pc_businessautocov|ChangeType|ID|policycenter.dbo.pctl_EffDatedChangeType|pctl_EffDatedChangeType_TypeCode_ChangeType / pctl_EffDatedChangeType_Name_ChangeType / pctl_EffDatedChangeType_Description_ChangeType|TypeCode / Name / Description
policycenter.dbo.pc_businessautocov|Currency|ID|policycenter.dbo.pctl_Currency|pctl_Currency_TypeCode_Currency / pctl_Currency_Name_Currency / pctl_Currency_Description_Currency|TypeCode / Name / Description
policycenter.dbo.pc_businessautocov|Subtype|ID|policycenter.dbo.pctl_BusinessAutoCov|pctl_BusinessAutoCov_TypeCode_Subtype / pctl_BusinessAutoCov_Name_Subtype / pctl_BusinessAutoCov_Description_Subtype|TypeCode / Name / Description
policycenter.dbo.pc_balineexcl|ChangeType|ID|policycenter.dbo.pctl_EffDatedChangeType|pctl_EffDatedChangeType_TypeCode_ChangeType / pctl_EffDatedChangeType_Name_ChangeType / pctl_EffDatedChangeType_Description_ChangeType|TypeCode / Name / Description
policycenter.dbo.pc_balineexcl|Currency|ID|policycenter.dbo.pctl_Currency|pctl_Currency_TypeCode_Currency / pctl_Currency_Name_Currency / pctl_Currency_Description_Currency|TypeCode / Name / Description
policycenter.dbo.pc_balineexcl|Subtype|ID|policycenter.dbo.pctl_BusinessAutoExcl|pctl_BusinessAutoExcl_TypeCode_Subtype / pctl_BusinessAutoExcl_Name_Subtype / pctl_BusinessAutoExcl_Description_Subtype|TypeCode / Name / Description
policycenter.dbo.pc_boplinecond|ChangeType|ID|policycenter.dbo.pctl_EffDatedChangeType|pctl_EffDatedChangeType_TypeCode_ChangeType / pctl_EffDatedChangeType_Name_ChangeType / pctl_EffDatedChangeType_Description_ChangeType|TypeCode / Name / Description
policycenter.dbo.pc_boplinecond|Currency|ID|policycenter.dbo.pctl_Currency|pctl_Currency_TypeCode_Currency / pctl_Currency_Name_Currency / pctl_Currency_Description_Currency|TypeCode / Name / Description
policycenter.dbo.pc_boplinecond|Subtype|ID|policycenter.dbo.pctl_BusinessOwnersCond|pctl_BusinessOwnersCond_TypeCode_Subtype / pctl_BusinessOwnersCond_Name_Subtype / pctl_BusinessOwnersCond_Description_Subtype|TypeCode / Name / Description
policycenter.dbo.pc_businessownerscov|ChangeType|ID|policycenter.dbo.pctl_EffDatedChangeType|pctl_EffDatedChangeType_TypeCode_ChangeType / pctl_EffDatedChangeType_Name_ChangeType / pctl_EffDatedChangeType_Description_ChangeType|TypeCode / Name / Description
policycenter.dbo.pc_businessownerscov|Currency|ID|policycenter.dbo.pctl_Currency|pctl_Currency_TypeCode_Currency / pctl_Currency_Name_Currency / pctl_Currency_Description_Currency|TypeCode / Name / Description
policycenter.dbo.pc_businessownerscov|Subtype|ID|policycenter.dbo.pctl_BusinessOwnersCov|pctl_BusinessOwnersCov_TypeCode_Subtype / pctl_BusinessOwnersCov_Name_Subtype / pctl_BusinessOwnersCov_Description_Subtype|TypeCode / Name / Description
policycenter.dbo.pc_boplineexcl|ChangeType|ID|policycenter.dbo.pctl_EffDatedChangeType|pctl_EffDatedChangeType_TypeCode_ChangeType / pctl_EffDatedChangeType_Name_ChangeType / pctl_EffDatedChangeType_Description_ChangeType|TypeCode / Name / Description
policycenter.dbo.pc_boplineexcl|Currency|ID|policycenter.dbo.pctl_Currency|pctl_Currency_TypeCode_Currency / pctl_Currency_Name_Currency / pctl_Currency_Description_Currency|TypeCode / Name / Description
policycenter.dbo.pc_boplineexcl|Subtype|ID|policycenter.dbo.pctl_BusinessOwnersExcl|pctl_BusinessOwnersExcl_TypeCode_Subtype / pctl_BusinessOwnersExcl_Name_Subtype / pctl_BusinessOwnersExcl_Description_Subtype|TypeCode / Name / Description
policycenter.dbo.pcx_businessPursuits|ChangeType|ID|policycenter.dbo.pctl_EffDatedChangeType|pctl_EffDatedChangeType_TypeCode / pctl_EffDatedChangeType_Name / pctl_EffDatedChangeType_Description|TypeCode / Name / Description
policycenter.dbo.pcx_businessPursuits|typeofOccupation|ID|policycenter.dbo.pctl_BPCovOccupationType|pctl_BPCovOccupationType_TypeCode / pctl_BPCovOccupationType_Name / pctl_BPCovOccupationType_Description|TypeCode / Name / Description
policycenter.dbo.pc_businessvehicle|BodyType|ID|policycenter.dbo.pctl_BodyType|pctl_BodyType_TypeCode_BodyType / pctl_BodyType_Name_BodyType / pctl_BodyType_Description_BodyType|TypeCode / Name / Description
policycenter.dbo.pc_businessvehicle|ChangeType|ID|policycenter.dbo.pctl_EffDatedChangeType|pctl_EffDatedChangeType_TypeCode_ChangeType / pctl_EffDatedChangeType_Name_ChangeType / pctl_EffDatedChangeType_Description_ChangeType|TypeCode / Name / Description
policycenter.dbo.pc_businessvehicle|CostNew_cur|ID|policycenter.dbo.pctl_Currency|pctl_Currency_TypeCode_CostNew_cur / pctl_Currency_Name_CostNew_cur / pctl_Currency_Description_CostNew_cur|TypeCode / Name / Description
policycenter.dbo.pc_businessvehicle|DestinationZone|ID|policycenter.dbo.pctl_Zone|pctl_Zone_TypeCode_DestinationZone / pctl_Zone_Name_DestinationZone / pctl_Zone_Description_DestinationZone|TypeCode / Name / Description
policycenter.dbo.pc_businessvehicle|Experience|ID|policycenter.dbo.pctl_CombinedDriverExp|pctl_CombinedDriverExp_TypeCode_Experience / pctl_CombinedDriverExp_Name_Experience / pctl_CombinedDriverExp_Description_Experience|TypeCode / Name / Description
policycenter.dbo.pc_businessvehicle|Industry|ID|policycenter.dbo.pctl_VehicleIndustry|pctl_VehicleIndustry_TypeCode_Industry / pctl_VehicleIndustry_Name_Industry / pctl_VehicleIndustry_Description_Industry|TypeCode / Name / Description
policycenter.dbo.pc_businessvehicle|IndustryUse|ID|policycenter.dbo.pctl_VehicleIndustryUse|pctl_VehicleIndustryUse_TypeCode_IndustryUse / pctl_VehicleIndustryUse_Name_IndustryUse / pctl_VehicleIndustryUse_Description_IndustryUse|TypeCode / Name / Description
policycenter.dbo.pc_businessvehicle|IntraInterStateUsage|ID|policycenter.dbo.pctl_IntraInterStateUsage|pctl_IntraInterStateUsage_TypeCode_IntraInterStateUsage / pctl_IntraInterStateUsage_Name_IntraInterStateUsage / pctl_IntraInterStateUsage_Description_IntraInterStateUsage|TypeCode / Name / Description
policycenter.dbo.pc_businessvehicle|LengthOfLease|ID|policycenter.dbo.pctl_LengthOfLease|pctl_LengthOfLease_TypeCode_LengthOfLease / pctl_LengthOfLease_Name_LengthOfLease / pctl_LengthOfLease_Description_LengthOfLease|TypeCode / Name / Description
policycenter.dbo.pc_businessvehicle|LicenseState|ID|policycenter.dbo.pctl_State|pctl_State_TypeCode_LicenseState / pctl_State_Name_LicenseState / pctl_State_Description_LicenseState|TypeCode / Name / Description
policycenter.dbo.pc_businessvehicle|OriginationZone|ID|policycenter.dbo.pctl_Zone|pctl_Zone_TypeCode_OriginationZone / pctl_Zone_Name_OriginationZone / pctl_Zone_Description_OriginationZone|TypeCode / Name / Description
policycenter.dbo.pc_businessvehicle|PipCovered|ID|policycenter.dbo.pctl_PipCovered|pctl_PipCovered_TypeCode_PipCovered / pctl_PipCovered_Name_PipCovered / pctl_PipCovered_Description_PipCovered|TypeCode / Name / Description
policycenter.dbo.pc_businessvehicle|PreferredCoverageCurrency|ID|policycenter.dbo.pctl_Currency|pctl_Currency_TypeCode_PreferredCoverageCurrency / pctl_Currency_Name_PreferredCoverageCurrency / pctl_Currency_Description_PreferredCoverageCurrency|TypeCode / Name / Description
policycenter.dbo.pc_businessvehicle|PrimaryUse|ID|policycenter.dbo.pctl_VehiclePrimaryUse|pctl_VehiclePrimaryUse_TypeCode_PrimaryUse / pctl_VehiclePrimaryUse_Name_PrimaryUse / pctl_VehiclePrimaryUse_Description_PrimaryUse|TypeCode / Name / Description
policycenter.dbo.pc_businessvehicle|StatedValue_cur|ID|policycenter.dbo.pctl_Currency|pctl_Currency_TypeCode_StatedValue_cur / pctl_Currency_Name_StatedValue_cur / pctl_Currency_Description_StatedValue_cur|TypeCode / Name / Description
policycenter.dbo.pc_businessvehicle|VehicleRadius|ID|policycenter.dbo.pctl_RadiusCode|pctl_RadiusCode_TypeCode_VehicleRadius / pctl_RadiusCode_Name_VehicleRadius / pctl_RadiusCode_Description_VehicleRadius|TypeCode / Name / Description
